noise_relative,iter,timestamp,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_10,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_10,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_10,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_10,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.250000,35,2025-09-23T20:40:24.055338-07:00,19631416,9046455,1865749,134913,923,0,0,0,0,0,0,166519,324,13290217,3318677,8368,4,0,0,0,0,0,19797935,9046779,15155966,3453590,9291,4,0,0,0,0,0,0.991589,0.999964,0.123103,0.039065,0.099343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,36,2025-09-23T20:40:26.056347-07:00,20181410,9312559,1931720,141374,962,0,0,0,0,0,0,181871,343,13666050,3414539,8599,4,0,0,0,0,0,20363281,9312902,15597770,3555913,9561,4,0,0,0,0,0,0.991069,0.999963,0.123846,0.039757,0.100617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,37,2025-09-23T20:40:28.057683-07:00,20730964,9578560,1997928,147836,992,0,0,0,0,0,0,197058,370,14041748,3510386,8834,4,0,0,0,0,0,20928022,9578930,16039676,3658222,9826,4,0,0,0,0,0,0.990584,0.999961,0.124562,0.040412,0.100957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,38,2025-09-23T20:40:30.059041-07:00,21285673,9844082,2060024,153828,1031,0,0,0,0,0,0,212065,480,14417537,3606259,9065,4,0,0,0,0,0,21497738,9844562,16477561,3760087,10096,4,0,0,0,0,0,0.990135,0.999951,0.125020,0.040911,0.102120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,39,2025-09-23T20:40:32.060524-07:00,21842779,10109197,2121208,159525,1061,0,0,0,0,0,0,226231,540,14793335,3702109,9292,4,0,0,0,0,0,22069010,10109737,16914543,3861634,10353,4,0,0,0,0,0,0.989749,0.999947,0.125407,0.041310,0.102482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,40,2025-09-23T20:40:34.062311-07:00,22400530,10373619,2185254,165189,1093,0,0,0,0,0,0,237664,678,15169137,3797960,9523,4,0,0,0,0,0,22638194,10374297,17354391,3963149,10616,4,0,0,0,0,0,0.989502,0.999935,0.125919,0.041681,0.102958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,41,2025-09-23T20:40:36.063955-07:00,22956955,10638575,2249931,170919,1130,0,0,0,0,0,0,249120,851,15544933,3893872,9759,4,0,0,0,0,0,23206075,10639426,17794864,4064791,10889,4,0,0,0,0,0,0.989265,0.999920,0.126437,0.042049,0.103774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,42,2025-09-23T20:40:38.065493-07:00,23514293,10903275,2314538,176602,1157,0,0,0,0,0,0,260313,960,15920641,3989746,9995,4,0,0,0,0,0,23774606,10904235,18235179,4166348,11152,4,0,0,0,0,0,0.989051,0.999912,0.126927,0.042388,0.103748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,43,2025-09-23T20:40:40.067503-07:00,24071720,11167531,2380533,182126,1188,0,0,0,0,0,0,270428,1113,16296379,4085632,10230,4,0,0,0,0,0,24342148,11168644,18676912,4267758,11418,4,0,0,0,0,0,0.988891,0.999900,0.127459,0.042675,0.104046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,44,2025-09-23T20:40:42.070464-07:00,24629315,11430497,2450032,185921,1219,0,0,0,0,0,0,278296,1275,16672086,4181484,10472,4,0,0,0,0,0,24907611,11431772,19122118,4367405,11691,4,0,0,0,0,0,0.988827,0.999888,0.128126,0.042570,0.104268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,45,2025-09-23T20:40:44.079271-07:00,25186785,11693563,2520031,189653,1247,0,0,0,0,0,0,285504,1290,17047887,4277334,10707,4,0,0,0,0,0,25472289,11694853,19567918,4466987,11954,4,0,0,0,0,0,0.988792,0.999890,0.128784,0.042457,0.104317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,46,2025-09-23T20:40:46.079838-07:00,25744103,11956836,2590392,193447,1283,0,0,0,0,0,0,292505,1408,17423641,4373204,10944,4,0,0,0,0,0,26036608,11958244,20014033,4566651,12227,4,0,0,0,0,0,0.988766,0.999882,0.129429,0.042361,0.104932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,47,2025-09-23T20:40:48.080512-07:00,26261975,12207083,2657079,197462,1323,0,0,0,0,0,0,299121,1796,17780641,4464361,11169,4,0,0,0,0,0,26561096,12208879,20437720,4661823,12492,4,0,0,0,0,0,0.988738,0.999853,0.130009,0.042357,0.105908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
