noise_relative,accept_counts_1,accept_counts_2,accept_counts_4,accept_counts_8,accept_counts_12,accept_counts_16,accept_counts_20,accept_counts_50,accept_counts_100,accept_counts_200,reject_counts_1,reject_counts_2,reject_counts_4,reject_counts_8,reject_counts_12,reject_counts_16,reject_counts_20,reject_counts_50,reject_counts_100,reject_counts_200,totals_1,totals_2,totals_4,totals_8,totals_12,totals_16,totals_20,totals_50,totals_100,totals_200,acceptance_rates_1,acceptance_rates_2,acceptance_rates_4,acceptance_rates_8,acceptance_rates_12,acceptance_rates_16,acceptance_rates_20,acceptance_rates_50,acceptance_rates_100,acceptance_rates_200
0.29000000000000015,2627413,1376263,2363897,426827,1284,0,0,0,0,0,3589,732,459,82526,0,0,0,0,0,0,2631002,1376995,2364356,509353,1284,0,0,0,0,0,0.9986358809305352,0.9994684076558012,0.9998058667984009,0.8379787691443852,1,0,0,0,0,0
0.29500000000000015,2627360,1376566,2363941,427008,1277,0,0,0,0,0,3667,659,439,82533,0,0,0,0,0,0,2631027,1377225,2364380,509541,1277,0,0,0,0,0,0.9986062476743872,0.9995215015701864,0.9998143276461483,0.8380248105648025,1,0,0,0,0,0
0.30000000000000016,2627224,1376650,2363820,426574,1282,0,0,0,0,0,3787,671,456,82515,0,0,0,0,0,0,2631011,1377321,2364276,509089,1282,0,0,0,0,0,0.9985606293550274,0.9995128223558633,0.9998071291169052,0.8379163564720511,1,0,0,0,0,0
0.30500000000000016,2627649,1375935,2363669,431857,1267,0,0,0,0,0,3783,719,435,77421,0,0,0,0,0,0,2631432,1376654,2364104,509278,1267,0,0,0,0,0,0.9985623797232838,0.9994777191654548,0.9998159979425609,0.8479789034672615,1,0,0,0,0,0
0.31000000000000016,2627617,1376694,2363936,509283,1273,0,0,0,0,0,3770,690,457,0,0,0,0,0,0,0,2631387,1377384,2364393,509283,1273,0,0,0,0,0,0.9985672954985336,0.999499050373752,0.9998067157194257,1,1,0,0,0,0,0
0.31500000000000017,2627773,1378963,2364456,509059,1298,0,0,0,0,0,3798,654,448,0,0,0,0,0,0,0,2631571,1379617,2364904,509059,1298,0,0,0,0,0,0.998556755641402,0.9995259553919675,0.9998105631349095,1,1,0,0,0,0,0
0.3200000000000002,2654311,1392654,2387922,514371,1304,0,0,0,0,0,3805,568,452,0,0,0,0,0,0,0,2658116,1393222,2388374,514371,1304,0,0,0,0,0,0.9985685350075015,0.9995923119215746,0.9998107499076778,1,1,0,0,0,0,0
0.3250000000000002,2627723,1378388,2364434,509511,1287,0,0,0,0,0,3765,538,456,0,0,0,0,0,0,0,2631488,1378926,2364890,509511,1287,0,0,0,0,0,0.9985692505532991,0.9996098412822733,0.9998071791922669,1,1,0,0,0,0,0
0.3300000000000002,2627517,1378299,2364053,509924,1284,0,0,0,0,0,3760,417,453,0,0,0,0,0,0,0,2631277,1378716,2364506,509924,1284,0,0,0,0,0,0.9985710360406753,0.9996975446719991,0.9998084166417848,1,1,0,0,0,0,0
0.3350000000000002,2627683,1378330,2364194,509426,1290,0,0,0,0,0,3790,406,438,0,0,0,0,0,0,0,2631473,1378736,2364632,509426,1290,0,0,0,0,0,0.9985597420152136,0.9997055273816017,0.9998147703321278,1,1,0,0,0,0,0
0.3400000000000002,2627518,1378350,2364076,509400,1275,0,0,0,0,0,3762,461,444,0,0,0,0,0,0,0,2631280,1378811,2364520,509400,1275,0,0,0,0,0,0.9985702775835334,0.9996656539583743,0.9998122240454722,1,1,0,0,0,0,0
0.3450000000000002,2627684,1377536,2364068,509853,1288,0,0,0,0,0,3797,452,450,0,0,0,0,0,0,0,2631481,1377988,2364518,509853,1288,0,0,0,0,0,0.9985570862947519,0.99967198553253,0.9998096863715987,1,1,0,0,0,0,0
0.3500000000000002,2628125,1377441,2364043,509997,1285,0,0,0,0,0,3863,477,461,0,0,0,0,0,0,0,2631988,1377918,2364504,509997,1285,0,0,0,0,0,0.9985322881411314,0.9996538255542057,0.999805033106309,1,1,0,0,0,0,0
0.3550000000000002,2653442,1391670,2387269,514876,1299,0,0,0,0,0,3887,420,469,0,0,0,0,0,0,0,2657329,1392090,2387738,514876,1299,0,0,0,0,0,0.9985372530085661,0.9996982953688339,0.9998035797897424,1,1,0,0,0,0,0
0.3600000000000002,2628189,1377023,2364193,510228,1274,0,0,0,0,0,3891,324,451,0,0,0,0,0,0,0,2632080,1377347,2364644,510228,1274,0,0,0,0,0,0.9985217014680405,0.9997647651608491,0.9998092736158171,1,1,0,0,0,0,0
0.3650000000000002,2627963,1376784,2363712,509973,1281,0,0,0,0,0,3906,354,489,0,0,0,0,0,0,0,2631869,1377138,2364201,509973,1281,0,0,0,0,0,0.9985158835793119,0.9997429451514663,0.999793164794364,1,1,0,0,0,0,0
0.3700000000000002,2627756,1377295,2363802,510137,1281,0,0,0,0,0,3937,321,426,0,0,0,0,0,0,0,2631693,1377616,2364228,510137,1281,0,0,0,0,0,0.9985040048364304,0.9997669887690038,0.9998198143326278,1,1,0,0,0,0,0
0.3750000000000002,2575589,1349647,2316690,499583,1260,0,0,0,0,0,3811,401,451,0,0,0,0,0,0,0,2579400,1350048,2317141,499583,1260,0,0,0,0,0,0.9985225246181283,0.9997029735239044,0.9998053635924615,1,1,0,0,0,0,0
0.3800000000000002,2627995,1376988,2363692,509886,1288,0,0,0,0,0,3978,415,470,0,0,0,0,0,0,0,2631973,1377403,2364162,509886,1288,0,0,0,0,0,0.9984885863190845,0.9996987083663967,0.9998011980566476,1,1,0,0,0,0,0
0.38500000000000023,2627953,1377057,2363642,509728,1277,0,0,0,0,0,4069,447,462,0,0,0,0,0,0,0,2632022,1377504,2364104,509728,1277,0,0,0,0,0,0.9984540402777788,0.9996755000348456,0.9998045771252027,1,1,0,0,0,0,0
0.39000000000000024,2627945,1377002,2363372,509849,1277,0,0,0,0,0,4028,522,457,0,0,0,0,0,0,0,2631973,1377524,2363829,509849,1277,0,0,0,0,0,0.9984695891637186,0.9996210592338137,0.9998066696025812,1,1,0,0,0,0,0
0.39500000000000024,2628061,1377090,2363488,509462,1283,0,0,0,0,0,4164,438,466,0,0,0,0,0,0,0,2632225,1377528,2363954,509462,1283,0,0,0,0,0,0.9984180683642165,0.999682039130965,0.99980287264473,1,1,0,0,0,0,0
0.40000000000000024,2627878,1377105,2363479,509871,1279,0,0,0,0,0,4191,466,503,0,0,0,0,0,0,0,2632069,1377571,2363982,509871,1279,0,0,0,0,0,0.9984077165150306,0.9996617234247818,0.999787223422175,1,1,0,0,0,0,0
0.40500000000000025,2628133,1376197,2363415,509922,1294,0,0,0,0,0,4201,363,508,0,0,0,0,0,0,0,2632334,1376560,2363923,509922,1294,0,0,0,0,0,0.9984040779019684,0.9997362991805661,0.9997851029834728,1,1,0,0,0,0,0
0.41000000000000025,2654632,1390306,2387043,515130,1309,0,0,0,0,0,4194,414,498,0,0,0,0,0,0,0,2658826,1390720,2387541,515130,1309,0,0,0,0,0,0.9984226120851835,0.999702312471238,0.999791417194511,1,1,0,0,0,0,0
0.41500000000000026,2628546,1376734,2363529,509481,1289,0,0,0,0,0,4202,456,384,0,0,0,0,0,0,0,2632748,1377190,2363913,509481,1289,0,0,0,0,0,0.9984039490296831,0.9996688910026938,0.9998375574735618,1,1,0,0,0,0,0
0.42000000000000026,2628226,1376259,2363334,509673,1279,0,0,0,0,0,4176,466,418,0,0,0,0,0,0,0,2632402,1376725,2363752,509673,1279,0,0,0,0,0,0.9984136161574106,0.999661515553215,0.9998231624975886,1,1,0,0,0,0,0
0.42500000000000027,2628760,1376477,2363601,509795,1290,0,0,0,0,0,4199,478,313,0,0,0,0,0,0,0,2632959,1376955,2363914,509795,1290,0,0,0,0,0,0.9984052163364489,0.9996528572102937,0.9998675924758684,1,1,0,0,0,0,0
0.43000000000000027,2628658,1377424,2363530,509333,1285,0,0,0,0,0,4163,628,272,0,0,0,0,0,0,0,2632821,1378052,2363802,509333,1285,0,0,0,0,0,0.9984188062918063,0.9995442842505218,0.9998849311405947,1,1,0,0,0,0,0
0.4350000000000003,2629243,1378670,2364083,509139,1286,0,0,0,0,0,4144,702,318,0,0,0,0,0,0,0,2633387,1379372,2364401,509139,1286,0,0,0,0,0,0.9984263611842847,0.9994910727490481,0.9998655050475787,1,1,0,0,0,0,0
0.4400000000000003,2628884,1378541,2364193,509605,1285,0,0,0,0,0,4141,701,269,0,0,0,0,0,0,0,2633025,1379242,2364462,509605,1285,0,0,0,0,0,0.9984272842073281,0.9994917498162034,0.9998862320477132,1,1,0,0,0,0,0
0.4450000000000003,2629109,1377892,2363990,509617,1275,0,0,0,0,0,4173,675,197,0,0,0,0,0,0,0,2633282,1378567,2364187,509617,1275,0,0,0,0,0,0.9984152855637946,0.9995103611213674,0.9999166732580799,1,1,0,0,0,0,0
0.4500000000000003,2629125,1378105,2364008,509628,1282,0,0,0,0,0,4152,600,220,0,0,0,0,0,0,0,2633277,1378705,2364228,509628,1282,0,0,0,0,0,0.9984232574089243,0.9995648090055523,0.9999069463689627,1,1,0,0,0,0,0
0.4550000000000003,2628859,1378061,2363769,509738,1281,0,0,0,0,0,4151,433,208,0,0,0,0,0,0,0,2633010,1378494,2363977,509738,1281,0,0,0,0,0,0.9984234773130372,0.99968588909346,0.9999120126803264,1,1,0,0,0,0,0
0.4600000000000003,2648620,1391193,2387477,515164,1296,0,0,0,0,0,4218,435,216,0,0,0,0,0,0,0,2652838,1391628,2387693,515164,1296,0,0,0,0,0,0.9984100046817785,0.9996874164647449,0.9999095361087041,1,1,0,0,0,0,0
0.4650000000000003,2629445,1377437,2363798,510059,1281,0,0,0,0,0,4128,469,230,0,0,0,0,0,0,0,2633573,1377906,2364028,510059,1281,0,0,0,0,0,0.9984325477212896,0.9996596284507071,0.9999027084281573,1,1,0,0,0,0,0
0.4700000000000003,2629345,1377586,2363491,510106,1278,0,0,0,0,0,4142,521,233,0,0,0,0,0,0,0,2633487,1378107,2363724,510106,1278,0,0,0,0,0,0.9984271803885875,0.9996219451755197,0.9999014267317166,1,1,0,0,0,0,0
0.4750000000000003,2629698,1377159,2363614,509898,1287,0,0,0,0,0,4156,671,246,0,0,0,0,0,0,0,2633854,1377830,2363860,509898,1287,0,0,0,0,0,0.9984220841398195,0.9995130023297504,0.9998959329232696,1,1,0,0,0,0,0
